StudentID,Year,Bi Std,Bi Teacher,Bi ATL,Bi Compl. Of Work,Bi Sub Achievement,BM Std,BM Teacher,BM ATL,BM Compl. Of Work,BM Sub Achievement,Ch Std,Ch Teacher,Ch ATL,Ch Compl. Of Work,Ch Sub Achievement,CB Std,CB Teacher,CB ATL,CB Compl. Of Work,CB Sub Achievement,CL Std,CL Teacher,CL ATL,CL Compl. Of Work,CL Sub Achievement,Ec Std,Ec Teacher,Ec ATL,Ec Compl. Of Work,Ec Sub Achievement,EB Std,EB Teacher,EB ATL,EB Compl. Of Work,EB Sub Achievement,ELL Std,ELL Teacher,ELL ATL,ELL Compl. Of Work,ELL Sub Achievement,FB Std,FB Teacher,FB ATL,FB Compl. Of Work,FB Sub Achievement,Ge Std,Ge Teacher,Ge ATL,Ge Compl. Of Work,Ge Sub Achievement,Hi Std,Hi Teacher,Hi ATL,Hi Compl. Of Work,Hi Sub Achievement,Jli Std,Jli Teacher,Jli ATL,Jli Compl. Of Work,Jli Sub Achievement,KLi Std,KLi Teacher,KLi ATL,KLi Compl. Of Work,KLi Sub Achievement,Cab Std,Cab Teacher,Cab ATL,Cab Compl. Of Work,Cab Sub Achievement,MS Std,MS Teacher,MS ATL,MS Compl. Of Work,MS Sub Achievement,Ma Std,Ma Teacher,Ma ATL,Ma Compl. Of Work,Ma Sub Achievement,Predicted Grade,Actual Grade,Scaled Total,Mu Std,Mu Teacher,Mu ATL,Mu Compl. Of Work,Mu Sub Achievement,Ph Std,Ph Teacher,Ph ATL,Ph Compl. Of Work,Ph Sub Achievement,Ps Std,Ps Teacher,Ps ATL,Ps Compl. Of Work,Ps Sub Achievement,SAb Std,SAb Teacher,SAb ATL,SAb Compl. Of Work,SAb Sub Achievement,SB Std,SB Teacher,SB ATL,SB Compl. Of Work,SB Sub Achievement,SEHS Std,SEHS Teacher,SEHS ATL,SEHS Compl. Of Work,SEHS Sub Achievement,TB Std,TB Teacher,TB ATL,TB Compl. Of Work,TB Sub Achievement,Th Std,Th Teacher,Th ATL,Th Compl. Of Work,Th Sub Achievement,ToK Std,ToK Teacher,ToK ATL,ToK Compl. Of Work,ToK Sub Achievement,ToC Std,ToC Teacher,ToC ATL,ToC Compl. Of Work,ToC Sub Achievement,Var Std,Var Teacher,Var ATL,Var Compl. Of Work,Var Sub Achievement
153842638103,2020,,,,,,,,,,,SL,PMK,5,6,4,,,,,,,,,,,HL,CTH,6,6,6,,,,,,SL,EMu,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GTu,7,6,5,6,6,70,,,,,,HL,HWK,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRL,5,5,4,,,,,,,,,,
103517705547,2020,HL,LLo,7,7,5,,,,,,HL,HTo,5,5,5,,,,,,,,,,,SL,NCh,7,7,6,,,,,,SL,EMu,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,6,6,4,5,5,61,,,,,,,,,,,,,,,,SL,Cal,6,6,7,,,,,,,,,,,,,,,,,,,,,,GGo,6,5,5,,,,,,,,,,
145140705547,2020,,,,,,,,,,,SL,HTo,5,6,5,,,,,,SL,CWe,7,7,7,HL,CTH,6,6,6,HL,CBo,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,6,6,5,5,6,70,SL,CLi,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACY,6,6,6,,,,,
154118391811,2020,,,,,,,,,,,SL,PMK,5,6,4,,,,,,,,,,,SL,ATa,5,5,5,HL,TRo,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,SL,OEj,7,7,7,,,,,,,,,,,HL,JTo,7,6,5,6,6,75,,,,,,HL,TGe,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLo,6,6,6,,,,,,,,,,
110203705547,2020,HL,SSh,5,5,4,,,,,,HL,HTo,5,5,3,,,,,,,,,,,,,,,,,,,,,SL,CCh,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,6,6,4,5,5,61,,,,,,,,,,,HL,SDa,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,GGo,6,5,6,,,,,,,,,,
102419705547,2020,,,,,,,,,,,SL,PMK,7,5,5,,,,,,,,,,,HL,CTH,6,6,7,,,,,,SL,CCh,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RCh,7,7,7,7,7,88,,,,,,HL,HWK,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRL,7,7,5,,,,,,,,,,
113936705547,2020,HL,LLo,6,5,4,,,,,,HL,HTo,5,5,3,,,,,,,,,,,HL,RSi,6,5,5,,,,,,SL,EMu,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CNa,5,5,4,4,5,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEv,6,5,5,,,,,,,,,,
120949192226,2020,,,,,,HL,JMa,5,5,4,,,,,,,,,,,SL,CHY,6,6,6,,,,,,HL,TRo,6,6,6,,,,,,,,,,,,,,,,HL,CTa,5,4,4,,,,,,,,,,,,,,,,,,,,,SL,LLP,4,4,3,3,4,48,,,,,,,,,,,,,,,,,,,,,,,,,,SL,GSm,6,4,4,,,,,,,,,,,,GGo,5,4,4,,,,,,,,,,
145859099239,2020,HL,SSh,6,5,6,,,,,,HL,SOn,7,7,6,,,,,,SL,CWe,6,6,6,,,,,,HL,TRo,7,7,7,,,,,,,,,,,SL,SSe,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,7,7,7,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGo,6,4,5,,,,,,,,,,
144948471386,2020,HL,SSh,6,6,5,,,,,,HL,JTe,6,6,3,,,,,,,,,,,,,,,,,,,,,HL,KHo,7,7,6,,,,,,,,,,,SL,CTa,6,6,5,,,,,,,,,,,,,,,,,,,,,SL,FYi,7,7,5,5,5,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSe,5,5,5,,,,,,,,,,
